,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
2565,Lovely Apartment,United States,Apartment,150.00,Entire home/apt,1.0,1.0,2,moderate,19,5,0.00,60,1,10.0,2019-03-07,Rosalynn,1,2019-03-07,349,-73.96665,40.67424
2566,Pause_Oporto,Portugal,House,80.00,Entire home/apt,3.0,3.0,4,flexible,31,3,35.00,1125,3,10.0,2019-02-16,Luzia,1,2019-02-16,255,-8.59836,41.14798
2567,"Work n Rest Free wifi Quiet, Family Fun Shops Cafe",Australia,House,119.00,Entire home/apt,3.0,11.0,12,strict_14_with_grace_period,40,1,22.00,1125,1,9.0,2019-03-07,Leena,6,2019-03-07,0,150.91725,-33.74507
2568,看林村河和吐露港海的房間,Hong Kong,Apartment,691.00,Private room,2.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-03-11,Kitty,1,2019-03-11,0,114.17048,22.45252
2569,40 mins bus to city.close to big shopping mall.,Australia,Villa,30.00,Private room,1.0,2.0,3,flexible,5,1,10.00,1125,1,8.0,2019-03-07,Lulu,3,2019-03-07,0,150.99986,-33.73109
2570,"FLAT, PRAIA, BARRA DA TIJUCA, RESORT 5 ESTRELAS.",Brazil,Serviced apartment,500.00,Entire home/apt,0.0,2.0,4,strict_14_with_grace_period,4,3,0.00,1125,1,9.0,2019-02-11,Daniel Augusto Goulart,1,2019-02-11,354,-43.32757785990409,-23.011402303611757
2571,Logement parfait pour étudiants proche du metro,Canada,Apartment,25.00,Entire home/apt,3.0,3.0,3,flexible,0,60,0.00,150,1,0.0,2019-03-11,Alexis,2,2019-03-11,82,-73.6495,45.55217
2572,Enjoy the true Aloha Spirit...,United States,Guest suite,120.00,Entire home/apt,2.0,2.0,5,moderate,43,2,25.00,1125,4,10.0,2019-03-06,Jon & Noe,1,2019-03-06,158,-155.08524,19.68684
2573,Private Room in Copacabana  -> The Best Price! :),Brazil,Serviced apartment,101.00,Entire home/apt,1.0,2.0,2,strict_14_with_grace_period,92,3,55.00,60,2,10.0,2019-02-11,Igor,3,2019-02-11,0,-43.17652688267036,-22.961961218731403
2574,Makaha Studio w/Mtn & Ocean Views - 1 Mi to Beach!,United States,Condominium,72.00,Entire home/apt,0.0,2.0,3,strict_14_with_grace_period,1,30,0.00,1125,3,10.0,2019-03-06,Evolve,200,2019-03-06,247,-158.20469,21.48223
2575,Peaceful Home,Turkey,Apartment,132.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Eray Alpay,1,2019-02-18,0,28.98235,41.04634
2576,Dormitory Room in Single Bed (Mixed),Turkey,Hostel,58.00,Shared room,1.0,1.0,1,moderate,0,1,0.00,6,1,0.0,2019-02-18,Erenler,10,2019-02-18,365,28.97814,41.01498
2577,Lapa: coração do Rio de Janeiro,Brazil,Apartment,119.00,Entire home/apt,1.0,1.0,2,flexible,12,1,0.00,1125,1,10.0,2019-02-11,Marcio,2,2019-02-11,255,-43.1862050026487,-22.915795156390473
2578,An art-lover’s studio in North Point,Hong Kong,Apartment,400.00,Entire home/apt,0.0,1.0,2,flexible,0,5,0.00,11,1,0.0,2019-03-11,Hongzhu,1,2019-03-11,0,114.19668,22.29154
2579,Working Fireplace in TriBeCa loft,United States,Apartment,70.00,Private room,1.0,1.0,1,moderate,0,14,0.00,26,1,0.0,2019-03-06,Kristen,1,2019-03-06,0,-74.00493,40.72035
2580,Apartment IN COPACABANA,Brazil,Apartment,392.00,Entire home/apt,2.0,5.0,4,strict_14_with_grace_period,7,3,0.00,1125,1,9.0,2019-02-11,Sonia,3,2019-02-11,357,-43.185466986809175,-22.972320634618416
2581,New Loft @ Dom Luís bridge IV,Portugal,Serviced apartment,75.00,Entire home/apt,1.0,2.0,2,moderate,9,2,0.00,120,1,10.0,2019-02-16,República,7,2019-02-16,206,-8.60689,41.13647
2582,Excelente 3 quartos copacabana/ipanema,Brazil,Apartment,1499.00,Entire home/apt,2.0,6.0,6,strict_14_with_grace_period,1,2,200.00,6,5,0.0,2019-02-11,Ana Cristina,2,2019-02-11,142,-43.19521073777903,-22.98515768125023
2583,Cosy private room with beautiful rooftop!,Hong Kong,Apartment,440.00,Private room,1.0,1.0,2,moderate,1,2,0.00,1125,1,8.0,2019-03-11,Tash,2,2019-03-11,0,114.17773,22.27722
2584,Apt with EmpireState view-Subway around the corner,United States,Apartment,80.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,33,2,25.00,90,2,8.0,2019-03-07,Civan,2,2019-03-07,14,-73.95167,40.69046
2585,Luxurious 1BR for Business & Leisure + Indoor Pool,Canada,Serviced apartment,85.00,Entire home/apt,1.0,1.0,2,moderate,1,30,0.00,1125,1,10.0,2019-03-11,Alejandro,256,2019-03-11,0,-73.57111,45.50664
2586,Cozy Stay | Modern and Central Apartment D,Portugal,Apartment,46.00,Entire home/apt,1.0,2.0,4,moderate,25,2,5.00,90,2,9.0,2019-02-16,Dudi,1,2019-02-16,0,-8.60309,41.14636
2587,"Spacious/50sqm 1BR in Sheung Wan, 2 min to MTR",Hong Kong,Apartment,699.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,0,2,0.00,4,2,0.0,2019-03-11,Tomomi,1,2019-03-11,8,114.15152,22.28582
2588,Cozy private room C,Australia,Villa,38.00,Private room,1.0,1.0,2,strict_14_with_grace_period,25,1,20.00,1125,1,9.0,2019-03-07,Judy,5,2019-03-07,124,151.12484,-33.78679
2589,"7 guests at ville St-Laurent, with parking spot",Canada,Apartment,95.00,Entire home/apt,2.0,3.0,7,strict_14_with_grace_period,13,2,20.00,1125,4,9.0,2019-03-11,Elie,2,2019-03-11,26,-73.67791,45.52717
2590,有窗舒適雙人房!鄰近旺角站!Comfy double Rm Near Mong kok MTR!1,Hong Kong,Apartment,283.00,Private room,1.0,1.0,2,moderate,23,1,80.00,1125,1,9.0,2019-03-11,Anmy,11,2019-03-11,83,114.17204,22.31752
2591,Apartamento Copacabana Rio de Janeiro,Brazil,Apartment,4498.00,Entire home/apt,2.0,1.0,4,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Caio Lanes,1,2019-02-11,365,-43.19213713094674,-22.971424097325322
2592,Bombarda 205 Apartment - Art Galleries District,Portugal,Apartment,78.00,Entire home/apt,1.0,1.0,4,flexible,11,3,0.00,20,1,8.0,2019-02-16,Ana,5,2019-02-16,128,-8.6189,41.14921
2593,Spacious bedroom in 3 storeys village house,Hong Kong,House,393.00,Private room,1.0,1.0,2,flexible,21,2,100.00,7,2,9.0,2019-03-11,Tabatha,2,2019-03-11,229,114.12535,22.20542
2594,Well connected central modernist apartment,Spain,Apartment,80.00,Private room,1.0,2.0,2,strict_14_with_grace_period,2,1,40.00,16,1,10.0,2019-03-08,Anna,1,2019-03-08,0,2.15819,41.38308
2595,舒适小屋,Australia,Condominium,40.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-03-07,脆脆,1,2019-03-07,0,151.12269,-33.88474
2596,Dualist 1,Turkey,Boutique hotel,295.00,Private room,1.0,2.0,3,flexible,32,1,0.00,1125,1,10.0,2019-02-18,Selim,8,2019-02-18,365,28.96944,41.00495
2597,Alugo quarto c garagem,Brazil,Apartment,298.00,Private room,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Rosa,1,2019-02-11,365,-43.34070126558797,-22.92720713050604
2598,Kitnet entre a zona sul e o centro.,Brazil,Loft,149.00,Entire home/apt,0.0,1.0,2,flexible,0,5,50.00,30,1,0.0,2019-02-11,Lázaro,1,2019-02-11,0,-43.17758290670382,-22.918236838685864
2599,"Authentic one bedroom apartment , popular location",Turkey,Apartment,322.00,Entire home/apt,1.0,3.0,5,flexible,4,1,0.00,1125,1,8.0,2019-02-18,Senem,8,2019-02-18,365,28.98306,41.03676
2600,Copacabana Leme,Brazil,Apartment,220.00,Entire home/apt,1.0,1.0,3,moderate,56,1,0.00,365,1,9.0,2019-02-11,Philippe,1,2019-02-11,355,-43.17306842860139,-22.96099670681764
2601,UD Rambla Suites  Pool 27 (2 BR),Spain,Condominium,175.00,Entire home/apt,2.0,2.0,6,strict_14_with_grace_period,3,1,26.00,1125,2,10.0,2019-03-08,Lorenzo,32,2019-03-08,204,2.20727,41.39763
2602,Stylish Open Space Apartment,Portugal,Apartment,50.00,Entire home/apt,1.0,3.0,4,flexible,35,2,10.00,30,2,9.0,2019-02-16,Miguel & João,17,2019-02-16,330,-8.60464,41.15962
2603,Tortoise and bird refuge at beach!#2,United States,Boutique hotel,86.00,Private room,1.0,1.0,3,strict_14_with_grace_period,176,1,40.00,1125,1,9.0,2019-03-06,Kaimana,2,2019-03-06,319,-156.68665,20.88171
2604,尖沙咀 寧靜方便優雅 Private studio inTST (1min to TST mtr),Hong Kong,Apartment,573.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,25,3,0.00,1125,1,9.0,2019-03-11,Moonie,4,2019-03-11,153,114.17119,22.29736
2605,Waikiki Marina,United States,Condominium,90.00,Entire home/apt,0.0,1.0,2,moderate,52,2,25.00,180,2,10.0,2019-03-06,Paul,2,2019-03-06,17,-157.83802,21.2874
2606,Conforto e tranquilidade no coração do Flamengo,Brazil,Apartment,500.00,Private room,2.0,2.0,1,moderate,2,2,0.00,7,1,10.0,2019-02-11,Rodrigo,1,2019-02-11,0,-43.17680548663649,-22.936782297663534
2607,Dream garden studio flat at Rumelihisarı,Turkey,Guest suite,121.00,Entire home/apt,1.0,1.0,2,flexible,0,100,100.00,360,1,0.0,2019-02-18,Aytul,2,2019-02-18,365,29.0531,41.08793
2608,villa maravilla,Spain,Apartment,100.00,Private room,1.0,1.0,2,flexible,0,3,20.00,1125,1,0.0,2019-03-08,Monica,1,2019-03-08,0,2.11271,41.41055
2609,★ Mar/Apr Discount ★ Beachfront/Remodeled 2017/18.,United States,House,632.00,Entire home/apt,3.0,4.0,8,strict_14_with_grace_period,33,5,29.00,365,6,10.0,2019-03-06,Shawn,8,2019-03-06,176,-157.90846,21.60677
2610,Gruta,Portugal,House,49.00,Entire home/apt,0.0,1.0,2,flexible,0,2,0.00,1125,1,0.0,2019-02-16,Maria,15,2019-02-16,225,-8.62508,41.16204
2611,Dtown Urban Condo -Monthly Rental,Canada,Condominium,85.00,Entire home/apt,1.0,2.0,3,strict_14_with_grace_period,0,30,0.00,1124,1,0.0,2019-03-11,Magdalina ( OLIT ),34,2019-03-11,39,-73.57121,45.49706
2612,Bright room at the other side of the river,Portugal,Apartment,16.00,Private room,1.0,1.0,2,moderate,40,1,5.00,30,1,9.0,2019-02-16,Daniela,2,2019-02-16,281,-8.60369,41.12979
2613,雙人大床(有窗)24小时前台､安全可靠､獨立衛浴(有窗)NO.5,Hong Kong,Guesthouse,298.00,Private room,1.0,1.0,2,strict_14_with_grace_period,3,1,50.00,14,2,7.0,2019-03-11,Zoe,4,2019-03-11,0,114.17232,22.31731
2614,Suite with sea view,Brazil,Apartment,142.00,Private room,1.0,1.0,2,strict_14_with_grace_period,5,2,150.00,1125,1,9.0,2019-02-11,Naya,2,2019-02-11,359,-43.18981895850035,-22.98359323820537
2615,"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,Apartment,100.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,3,32,0.00,1125,1,10.0,2019-03-08,Stay U-Nique,98,2019-03-08,249,2.17762,41.40782
2616,COZY APARTMENT II,Spain,Apartment,34.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,4,32,5.00,1125,3,9.0,2019-03-08,Leyre,43,2019-03-08,243,2.16192,41.38878
2617,Relax in the Raval - Room with Balcony,Spain,Apartment,50.00,Private room,1.0,1.0,2,moderate,27,3,0.00,1125,1,9.0,2019-03-08,Erwin And Isabel,1,2019-03-08,302,2.16731,41.37874
2618,BREATH-TAKING APARTMENT IN LEBLON,Brazil,Apartment,701.00,Entire home/apt,2.0,4.0,6,strict_14_with_grace_period,27,1,0.00,1125,1,9.0,2019-02-11,Marcia,10,2019-02-11,260,-43.223068052476755,-22.984144201400966
2619,MILE-END ☀️Near MONTROYAL park☀️ FREE PARKING,Canada,Apartment,150.00,Entire home/apt,5.0,7.0,12,strict_14_with_grace_period,37,1,15.00,1125,6,9.0,2019-03-11,Shlo,2,2019-03-11,153,-73.59295,45.52178
2620,Water View 2 Bedroom Apartment,Australia,Apartment,259.00,Entire home/apt,2.0,5.0,6,moderate,78,1,30.00,1125,4,9.0,2019-03-07,Oriel,4,2019-03-07,162,151.20415,-33.8695
2621,Beautiful bay view Apartment.,Australia,Apartment,65.00,Private room,1.0,1.0,2,strict_14_with_grace_period,4,3,0.00,12,1,10.0,2019-03-07,Jake,2,2019-03-07,0,151.18243,-33.87329
2622,Flat NO EXTRA taxes.,Brazil,Apartment,399.00,Entire home/apt,1.0,2.0,2,strict_14_with_grace_period,4,5,0.00,20,1,10.0,2019-02-11,Marcello,1,2019-02-11,13,-43.20292557199069,-22.981579889918926
2623,Bright & Stylish  Best Location Soho / Sheung Wan,Hong Kong,Apartment,1146.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,46,2,300.00,1125,2,10.0,2019-03-11,Angie,3,2019-03-11,334,114.14965,22.28482
2624,Nice little and cozy room!,Canada,Apartment,25.00,Private room,1.0,1.0,2,flexible,4,1,0.00,1125,1,8.0,2019-03-11,Véronique,1,2019-03-11,0,-73.56303,45.52969
2625,BARCELONA FIRA FAMILY,Spain,Apartment,83.00,Entire home/apt,4.0,4.0,5,strict_14_with_grace_period,10,1,50.00,1125,4,10.0,2019-03-08,Priority Villas,70,2019-03-08,17,2.15611,41.37384
2626,Strathfield Private Hotel,Australia,Boutique hotel,100.00,Private room,0.0,1.0,2,flexible,1,2,0.00,30,1,2.0,2019-03-07,Stephanie,1,2019-03-07,89,151.09333,-33.87208
2627,Hawaiian Escape,United States,House,100.00,Entire home/apt,2.0,4.0,8,flexible,19,2,20.00,30,4,9.0,2019-03-06,Doug,1,2019-03-06,359,-154.89644,19.55948
2628,Bright and Spacious apartment,Australia,Apartment,166.00,Entire home/apt,1.0,3.0,5,strict_14_with_grace_period,2,7,0.00,30,1,8.0,2019-03-07,Hafid,1,2019-03-07,0,151.20801,-33.91599
2629,Lovely house with all services around,Turkey,Apartment,316.00,Private room,1.0,1.0,6,flexible,0,2,105.00,10,1,0.0,2019-02-18,Mofidof,1,2019-02-18,364,28.63673,41.02444
2630,No. 1 harbour view new apartment in city centre,Hong Kong,Apartment,1201.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,3,2,0.00,1125,1,8.0,2019-03-11,Jiahui,1,2019-03-11,0,114.18136,22.28117
2631,"Cozy Flat, São João da Madeira",Portugal,Apartment,45.00,Entire home/apt,2.0,2.0,4,flexible,4,2,0.00,1125,1,10.0,2019-02-16,Telma,1,2019-02-16,0,-8.48714,40.895
2632,Near UNSW kingsford borrodale rd single room,Australia,House,70.00,Private room,4.0,1.0,1,strict_14_with_grace_period,1,1,30.00,1125,1,2.0,2019-03-07,Chandler,13,2019-03-07,9,151.22519,-33.92301
2633,Felix’s Home,Australia,Apartment,100.00,Entire home/apt,2.0,5.0,5,moderate,36,2,20.00,1125,4,8.0,2019-03-07,Felix,2,2019-03-07,0,151.21113,-33.92506
2634,"Hamam in the Apartment,2 minutes to Taksim Square3",Turkey,Apartment,264.00,Entire home/apt,2.0,2.0,6,strict_14_with_grace_period,36,1,48.00,1125,1,9.0,2019-02-18,Ismail,8,2019-02-18,346,28.98531,41.03457
2635,Porto-City Park,Portugal,Apartment,120.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,15,3,0.00,1125,1,9.0,2019-02-16,Teodemiro,1,2019-02-16,364,-8.66375,41.1648
2636,Bright and well located apartment,Canada,Apartment,64.00,Private room,1.0,1.0,2,flexible,0,2,0.00,5,1,0.0,2019-03-11,Melody,1,2019-03-11,83,-73.60968,45.47234
2637,Apto bem localizado e equipado em Laranjeiras,Brazil,Apartment,101.00,Entire home/apt,1.0,1.0,2,flexible,4,15,0.00,30,1,10.0,2019-02-11,Ana,1,2019-02-11,178,-43.18210077303726,-22.9344642155179
2638,Private room near Vendome and downtown,Canada,Apartment,20.00,Private room,1.0,1.0,2,flexible,2,2,0.00,1125,1,9.0,2019-03-11,Noemie,2,2019-03-11,0,-73.60512,45.47588
2639,Cosy & Sunny Perfect Location,Canada,Apartment,89.00,Entire home/apt,1.0,2.0,3,moderate,64,2,10.00,90,2,10.0,2019-03-11,Steph & Camilla,2,2019-03-11,45,-73.57394,45.5075
2640,affordable living,Australia,Tiny house,16.00,Shared room,1.0,1.0,1,flexible,0,7,0.00,14,1,0.0,2019-03-07,Own,1,2019-03-07,0,151.21065,-33.88225
2641,Warm# 3 bedroom + 2 bathroom  7pp#Apt. near MTR,Hong Kong,Condominium,1515.00,Entire home/apt,3.0,4.0,7,moderate,6,1,0.00,1125,7,8.0,2019-03-11,Morning,24,2019-03-11,164,114.17139,22.31474
2642,Casa da Picaria 4 | Studio Deluxe,Portugal,Loft,70.00,Entire home/apt,1.0,1.0,2,flexible,3,1,0.00,1125,2,10.0,2019-02-16,Porto,13,2019-02-16,275,-8.61402,41.15001
2643,Comfortable Apartment Sant Antoni area for months,Spain,Apartment,45.00,Entire home/apt,1.0,1.0,2,flexible,2,32,0.00,364,1,10.0,2019-03-08,Jan,6,2019-03-08,219,2.16311,41.37766
2644,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,United States,Apartment,98.00,Private room,1.0,1.0,3,strict_14_with_grace_period,76,30,65.00,1000,1,10.0,2019-03-07,Olan,2,2019-03-07,281,-74.00381,40.74
2645,"1 min MTR, nice sunshine(203)",Hong Kong,Loft,518.00,Entire home/apt,0.0,2.0,2,strict_14_with_grace_period,12,1,100.00,1125,2,9.0,2019-03-11,Gain,5,2019-03-11,84,114.17191,22.32129
2646,Formosa60.5,Portugal,Apartment,59.00,Entire home/apt,1.0,2.0,3,moderate,37,2,10.00,1125,2,10.0,2019-02-16,Formosa60.5,1,2019-02-16,157,-8.602,41.14642
2647,"Modern,Comfy and water view room",Australia,Apartment,109.00,Private room,1.0,2.0,2,moderate,7,2,15.00,1125,1,9.0,2019-03-07,Purple,1,2019-03-07,178,151.08383,-33.83084
2648,DB RIBEIRA - Grey Apartment,Portugal,Apartment,50.00,Entire home/apt,1.0,1.0,2,moderate,3,1,0.00,1125,1,9.0,2019-02-16,Daniela &  Tiago,5,2019-02-16,179,-8.61294,41.14126
2649,Apartamento de dois quartos em Copacabana,Brazil,Apartment,298.00,Entire home/apt,2.0,3.0,4,flexible,0,3,0.00,1125,1,0.0,2019-02-11,Renata,1,2019-02-11,0,-43.1854607821627,-22.96905050322832
2650,Water view getaway loft,Canada,Loft,119.00,Entire home/apt,1.0,7.0,8,strict_14_with_grace_period,6,1,45.00,1125,2,8.0,2019-03-11,Milo,3,2019-03-11,171,-73.55165,45.50909
2651,3 bed room,Portugal,House,30.00,Private room,1.0,3.0,3,moderate,28,2,0.00,1125,1,9.0,2019-02-16,Porto,6,2019-02-16,317,-8.60069,41.14476
2652,"Modern 5 bed family home, only minutes to Manly",Australia,House,425.00,Entire home/apt,5.0,5.0,6,strict_14_with_grace_period,0,5,0.00,1125,1,0.0,2019-03-07,Sue,1,2019-03-07,0,151.24974,-33.79395
2653,Blue House Apartment 2 • Parking,Portugal,Apartment,60.00,Entire home/apt,1.0,1.0,4,strict_14_with_grace_period,45,1,10.00,1125,2,10.0,2019-02-16,Carolina,49,2019-02-16,300,-8.61661,41.14697
2654,Apartment right next to Mongkok MTR@city centre,Hong Kong,Apartment,377.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,12,4,0.00,1125,1,10.0,2019-03-11,Mavis,1,2019-03-11,5,114.16954,22.3191
2655,Cobertura: Recreio Bandeirantes - incrível,Brazil,Apartment,250.00,Entire home/apt,3.0,3.0,5,flexible,1,4,60.00,180,4,10.0,2019-02-11,Sirlei,3,2019-02-11,166,-43.51122148081966,-23.019182606226938
2656,Chambre privée AppartPlateau ( métro Mont-Royal ),Canada,Apartment,48.00,Private room,1.0,1.0,1,flexible,0,10,0.00,60,1,0.0,2019-03-11,David,1,2019-03-11,0,-73.5784,45.5224
2657,Spacious Flat w/Terrace | Trindade,Portugal,Apartment,32.00,Entire home/apt,1.0,2.0,4,strict_14_with_grace_period,10,2,5.00,150,3,10.0,2019-02-16,Host Wise,62,2019-02-16,340,-8.61039,41.15428
2658,Cosy room with stunning views,Australia,Apartment,50.00,Private room,1.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-03-07,Jon,1,2019-03-07,0,151.1915,-33.87952
2659,Comfortable 3 bedroom in Copacabana,Brazil,Apartment,500.00,Entire home/apt,3.0,3.0,6,strict_14_with_grace_period,1,10,0.00,1125,1,10.0,2019-02-11,Claudio,1,2019-02-11,0,-43.18414288760948,-22.970608091218523
2660,"Petite-Patrie, the place to be!",Canada,Apartment,85.00,Entire home/apt,1.0,1.0,2,flexible,13,2,20.00,30,1,10.0,2019-03-11,Julie,1,2019-03-11,99,-73.59871,45.54211
2661,★★ SIGNATURE STUDIO ★★ Tsim Sha Tsui,Hong Kong,Apartment,550.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,84,1,0.00,365,1,9.0,2019-03-11,Dani,1,2019-03-11,124,114.17507,22.29897
2662,HUGE MAMBO ITALIANO (Loft),Canada,Other,99.00,Entire home/apt,0.0,2.0,5,flexible,30,2,50.00,1125,1,9.0,2019-03-11,Mario,1,2019-03-11,1,-73.60175,45.52779
2663,Vacation rentals Copacabana Rio de Janeiro,Brazil,Apartment,198.00,Entire home/apt,1.0,2.0,4,super_strict_60,1,3,0.00,90,4,6.0,2019-02-11,Marcio,69,2019-02-11,43,-43.17458410281832,-22.963580574787592
2664,"Serene oceanfront home,Kauai's sunny western shore",United States,House,509.00,Entire home/apt,3.0,5.0,6,strict_14_with_grace_period,0,5,0.00,45,1,0.0,2019-03-06,Jasmine,3,2019-03-06,0,-159.67869,21.9593
2665,Beautiful Suite at Rio Stay Residénce,Brazil,Apartment,108.00,Entire home/apt,1.0,1.0,2,flexible,26,2,50.00,1124,2,9.0,2019-02-11,Alexander,2,2019-02-11,84,-43.413896463087376,-22.97404368109086
2666,15 min Taksim metro (M2),Turkey,Loft,69.00,Private room,1.0,2.0,1,flexible,0,1,40.00,7,1,0.0,2019-02-18,Ozgur,1,2019-02-18,363,28.9773,41.0531
2667,Party/Event – Day/Night – Botafogo/Laranjeiras!,Brazil,House,1444.00,Entire home/apt,0.0,1.0,16,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-02-11,Daniel,320,2019-02-11,365,-43.18265182495336,-22.93988056399624
2668,2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Spain,Apartment,100.00,Entire home/apt,1.0,1.0,2,moderate,0,32,0.00,330,2,0.0,2019-03-08,Robbie & Kay,113,2019-03-08,0,2.1586,41.38186
2669,Well located,Australia,House,33.00,Private room,1.0,1.0,1,flexible,0,7,0.00,1125,1,0.0,2019-03-07,Carlos,1,2019-03-07,0,151.30397,-33.69212
2670,A cozy room in BJK,Turkey,Apartment,548.00,Private room,0.0,1.0,1,flexible,1,1,0.00,1125,1,10.0,2019-02-18,Fırat,1,2019-02-18,90,29.00155,41.04642
2671,Beach front condo - Prime location,United States,Condominium,65.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,0,30,0.00,36,2,0.0,2019-03-06,Skye,2,2019-03-06,34,-155.01192,19.73638
2672,ABSOLUTE SAGRADA FAMILIA 2,Spain,Serviced apartment,115.00,Entire home/apt,2.0,4.0,6,strict_14_with_grace_period,29,2,15.00,30,2,10.0,2019-03-08,Arturo,6,2019-03-08,142,2.17574,41.40557
2673,"COME INN 2인실B(1더블침대) 침사취이역B1에서 5분거리, 한국어 영어 중국어가능",Hong Kong,Apartment,259.00,Private room,1.0,1.0,2,strict_14_with_grace_period,40,1,0.00,30,1,9.0,2019-03-11,Bella,6,2019-03-11,31,114.17388,22.30196
2674,Design apartment with amazing views,Spain,Apartment,75.00,Entire home/apt,1.0,1.0,2,moderate,1,32,0.00,1125,2,0.0,2019-03-08,David,8,2019-03-08,303,2.15076,41.4069
2675,Spacious & Charming by Prospect Pk,United States,Apartment,56.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,5,14,0.00,30,1,9.0,2019-03-06,Todd,1,2019-03-06,0,-73.96003,40.66068
2676,boğaz & doğa manzaralı,Turkey,Casa particular (Cuba),501.00,Entire home/apt,1.0,3.0,12,flexible,0,10,0.00,30,1,0.0,2019-02-18,Serkan,1,2019-02-18,365,29.0437,41.16696
2677,The Mile End Nest,Canada,Apartment,219.00,Entire home/apt,1.0,1.0,2,moderate,33,3,45.00,1125,2,10.0,2019-03-11,Jason,1,2019-03-11,90,-73.59243,45.52636
2678,Central 3 Beds + Breakfast & Balcony (3A),Spain,Apartment,40.00,Private room,1.0,2.0,3,strict_14_with_grace_period,40,1,0.00,1125,1,8.0,2019-03-08,Charly,1,2019-03-08,81,2.16078,41.38334
2679,Cozy Studio With  Balcony (Free Private Parking),Portugal,Apartment,43.00,Entire home/apt,0.0,1.0,2,moderate,65,2,0.00,60,2,10.0,2019-02-16,José,14,2019-02-16,49,-8.62326,41.14701
2680,LE VOYAGEUR,Canada,Apartment,64.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,22,1,30.00,60,2,10.0,2019-03-11,Alexia,4,2019-03-11,273,-73.58108,45.51868
2681,Grand appartement chaleureux idéal pour famille,Canada,Apartment,118.00,Entire home/apt,3.0,4.0,6,flexible,1,14,0.00,45,1,6.0,2019-03-11,Anne-Laure,3,2019-03-11,0,-73.60259,45.5461
2682,Room in the center of Barcelona,Spain,Apartment,2000.00,Private room,0.0,1.0,1,flexible,0,4,0.00,270,1,0.0,2019-03-08,Gustavo,1,2019-03-08,180,2.17262,41.37539
2683,Great 1 bed apartment in the heart of Central HK!,Hong Kong,Apartment,699.00,Entire home/apt,1.0,1.0,2,flexible,9,5,0.00,14,1,10.0,2019-03-11,Mats,1,2019-03-11,7,114.1515,22.28203
2684,Apartamento T3 duplex de luxo à beira mar,Portugal,Apartment,90.00,Entire home/apt,3.0,4.0,6,strict_14_with_grace_period,7,3,0.00,1003,1,10.0,2019-02-16,Marcos,9,2019-02-16,152,-8.66554,41.12151
2685,CHARMING HOUSE WITH TERRACE - JEAN TALON MARKET,Canada,House,150.00,Entire home/apt,2.0,2.0,4,moderate,16,31,0.00,180,4,10.0,2019-03-11,Christopher,1,2019-03-11,310,-73.60694,45.53192
2686,Superbe Modern Condo OLD MTL+CONVENTION CENTER,Canada,Apartment,68.00,Entire home/apt,1.0,3.0,4,strict_14_with_grace_period,53,1,35.00,1125,2,9.0,2019-03-11,Greatest,10,2019-03-11,105,-73.55812,45.50385
2687,"Comfortable, cozy,  very nice location in moda cd",Turkey,Apartment,221.00,Entire home/apt,2.0,2.0,2,flexible,20,3,36.00,1125,1,10.0,2019-02-18,Nalan,1,2019-02-18,252,29.02372,40.98429
2688,Habitación cerca a Sagrada Familia,Spain,Apartment,18.00,Private room,1.0,1.0,1,strict_14_with_grace_period,50,1,0.00,1125,1,7.0,2019-03-08,Francisco,3,2019-03-08,338,2.1805,41.41756
2689,"Artsy and Comfy Bedroom, Living Room, Terrace",United States,Apartment,75.00,Private room,1.0,1.0,1,strict_14_with_grace_period,0,2,10.00,90,1,0.0,2019-03-07,Marysia,1,2019-03-07,15,-73.9513,40.6769
