,name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
4238,Copacabana Apartment Near Beach and Subway,Brazil,Apartment,149.00,Entire home/apt,1.0,1.0,3,strict_14_with_grace_period,0,3,0.00,1125,1,0.0,2019-02-11,Claudio,2,2019-02-11,355,-43.191698939340746,-22.977490594170355
4239,Awesome house in the west side of Rio de Janeiro,Brazil,House,392.00,Entire home/apt,4.0,4.0,8,strict_14_with_grace_period,0,2,50.00,1125,4,0.0,2019-02-11,Adriana,3,2019-02-11,90,-43.567711135204846,-23.064334319655416
4240,"Bright, Clean, Quiet, Modern",United States,House,65.00,Private room,1.0,1.0,2,strict_14_with_grace_period,55,5,30.00,30,1,10.0,2019-03-06,Marcia,2,2019-03-06,260,-157.79174,21.29851
4241,Classic French Villa with 4 Parkinks (7# Room),Canada,Villa,55.00,Private room,1.0,1.0,2,flexible,0,1,10.00,1125,2,0.0,2019-03-11,Deng,3,2019-03-11,179,-73.64385,45.52531
4242,地鐵上蓋單間短租,Hong Kong,House,243.00,Private room,2.0,1.0,1,flexible,1,1,0.00,30,1,8.0,2019-03-11,Ivy,3,2019-03-11,39,114.20626,22.33709
4243,Welcome to my sweet home!!,Hong Kong,Apartment,353.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,1,3,100.00,1125,2,8.0,2019-03-11,Shirely,1,2019-03-11,51,114.1697,22.32224
4244,The Main St-Laurent by Liv MTL - 307,Canada,Apartment,199.00,Entire home/apt,2.0,3.0,6,strict_14_with_grace_period,0,2,29.00,1125,4,0.0,2019-03-11,Liv MTL,40,2019-03-11,365,-73.57141,45.51503
4245,Ideal apartment for families. With gorgeous views,Spain,Apartment,40.00,Entire home/apt,3.0,4.0,5,flexible,0,31,0.00,1125,1,0.0,2019-03-08,Fernando,11,2019-03-08,320,2.15006,41.43322
4246,Quiet and clean apartment.,Australia,Apartment,43.00,Private room,1.0,1.0,1,flexible,0,5,0.00,30,1,0.0,2019-03-07,Marlize,2,2019-03-07,0,151.15599,-33.9577
4247,香港傳統唐樓@時尚空間 RA 房大雙人床,Hong Kong,Condominium,283.00,Private room,1.0,1.0,2,flexible,0,28,50.00,1125,1,0.0,2019-03-11,Phy,18,2019-03-11,106,114.16934,22.30776
4248,Amazing vintage art Work space in old city center,Spain,Guest suite,180.00,Private room,1.0,1.0,2,flexible,0,32,50.00,1125,2,0.0,2019-03-08,Josie,1,2019-03-08,365,2.17991,41.38497
4249,Well-designed cozy home in the heart of city,Turkey,Serviced apartment,148.00,Private room,1.0,1.0,2,flexible,0,1,60.00,1125,1,0.0,2019-02-18,Eylem,1,2019-02-18,126,28.9859,41.03183
4250,The best point at Barra da Tijuca!,Brazil,Apartment,108.00,Entire home/apt,1.0,1.0,2,moderate,23,2,45.00,90,2,10.0,2019-02-11,Bruno,1,2019-02-11,174,-43.32724684631953,-23.003354541765756
4251,Vizinhando 2,Brazil,House,75.00,Private room,0.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-11,Juliana,2,2019-02-11,162,-43.240942939170125,-22.898493891099466
4252,"Sagrada Familia Church, Barcelona",Spain,Apartment,98.00,Entire home/apt,3.0,5.0,6,moderate,1,1,20.00,180,6,6.0,2019-03-08,Chela,1,2019-03-08,107,2.17854,41.41044
4253,A 250m do Metrô (Sans Pena) - AP com 2 quartos,Brazil,Apartment,131.00,Entire home/apt,2.0,3.0,4,strict_14_with_grace_period,0,7,0.00,90,1,0.0,2019-02-11,Maneco ( Luis Manuel Jordão Elias),1,2019-02-11,172,-43.231450171626776,-22.92706116427369
4254,Large 1-bedroom in Brooklyn,United States,Apartment,115.00,Entire home/apt,1.0,1.0,2,flexible,6,7,0.00,1125,1,8.0,2019-03-06,Melissa,1,2019-03-06,0,-73.96568,40.68331
4255,Barcelona - Urquinaona,Spain,Apartment,300.00,Entire home/apt,1.0,1.0,4,strict_14_with_grace_period,0,5,0.00,1125,4,0.0,2019-03-08,Suites4days,22,2019-03-08,29,2.17797,41.39271
4256,"Comfortable Apartment, Next to Galata Tower",Turkey,Apartment,200.00,Entire home/apt,1.0,1.0,3,flexible,0,2,0.00,1125,1,0.0,2019-02-18,Talha,1,2019-02-18,89,28.9729,41.02771
4257,CİHANGİR MERKEZDE HARİKA APART DAİRELER,Turkey,Aparthotel,174.00,Entire home/apt,1.0,1.0,2,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Mehmet,2,2019-02-18,358,28.98264,41.03526
4258,"Pequeno loft, atė 03 pessoas  Copacabana,posto 06.",Brazil,Apartment,601.00,Entire home/apt,1.0,3.0,3,strict_14_with_grace_period,0,4,100.00,89,1,0.0,2019-02-11,Fariza,9,2019-02-11,359,-43.191434232499844,-22.97988904527634
4259,SUPER CENTRAL + BALCONY IN RAMBLAS !!!,Spain,Apartment,30.00,Private room,1.0,2.0,2,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-03-08,Cristina Y Arturo,3,2019-03-08,20,2.17168,41.38243
4260,Awesome One-bedroom overlooking the Duke Kahnamoku Lagoon  A+++++,United States,Condominium,287.00,Entire home/apt,1.0,1.0,2,super_strict_60,0,1,17.00,365,2,0.0,2019-03-06,Marina,169,2019-03-06,259,-157.8373,21.28361
4261,"Ilikai 1 Bedroom Deluxe Harbor View, Minutes to the Beach!",United States,Condominium,287.00,Entire home/apt,1.0,3.0,4,super_strict_60,0,1,17.00,365,2,0.0,2019-03-06,Marina,169,2019-03-06,242,-157.83898,21.28441
4262,Hortes: Acogedor studio/apartamento en Poble Sec,Spain,Apartment,32.00,Entire home/apt,1.0,1.0,2,strict_14_with_grace_period,0,32,0.00,1125,1,0.0,2019-03-08,Pia Hankö,31,2019-03-08,61,2.16757,41.37354
4263,Plateau Mont-Royal: Condo-Loft Well situated,Canada,Condominium,31.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,3,1,0.00,1125,1,8.0,2019-03-11,Heather,1,2019-03-11,1,-73.58574,45.528
4264,默默|sushe素舍  万象城/罗湖口岸/三地铁口/粤港美食/商旅首选一室一厅公寓,China,Apartment,440.00,Entire home/apt,1.0,2.0,2,flexible,1,1,0.00,1125,1,2.0,2019-03-11,Zhang,16,2019-03-11,86,114.11222,22.53885
4265,SWEET HOME NEXT TO SAGRADA FAMILIA,Spain,Apartment,50.00,Entire home/apt,3.0,3.0,5,flexible,0,32,0.00,1125,1,0.0,2019-03-08,Armine,1,2019-03-08,341,2.17597,41.40204
4266,红磡五星级酒店式公寓海景房豪华装修海韵轩海湾轩 理工大嘉里酒店边维港夜景 尖沙咀海港城庙街旺角西九龙,Hong Kong,Serviced apartment,1751.00,Entire home/apt,2.0,3.0,4,strict_14_with_grace_period,4,1,0.00,1125,1,10.0,2019-03-11,小莲,5,2019-03-11,324,114.18397,22.30222
4267,Trump avm ve çağlayana yürüme mesafesinde..,Turkey,Apartment,158.00,Private room,1.0,2.0,3,flexible,0,1,0.00,1125,1,0.0,2019-02-18,Fatma,2,2019-02-18,363,28.98768,41.07305
4268,city center apartament in luxury neigborhood,Spain,Apartment,37.00,Entire home/apt,1.0,2.0,2,moderate,0,30,0.00,1125,1,0.0,2019-03-08,Marc,2,2019-03-08,270,2.16326,41.39322
4269,学生短租,Hong Kong,House,157.00,Shared room,1.0,1.0,1,flexible,0,1,0.00,1125,1,0.0,2019-03-11,陈,1,2019-03-11,324,114.18613,22.33843
4270,Quartier des spectacles #304 -Studio apartment,Canada,Condominium,70.00,Entire home/apt,0.0,1.0,2,strict_14_with_grace_period,0,5,0.00,1125,1,0.0,2019-03-11,Lovely Homes,10,2019-03-11,152,-73.57126,45.51387
4271,Big Private 4 bedrooms 1 bathroom Near Subway!,United States,Apartment,300.00,Entire home/apt,4.0,6.0,13,strict_14_with_grace_period,30,1,25.00,1125,8,9.0,2019-03-07,Dee,2,2019-03-07,321,-73.93122,40.67658
4272,Ocean View 1Bdrm at Luana Waikiki w/Free Parking,United States,Condominium,175.00,Entire home/apt,1.0,3.0,6,strict_14_with_grace_period,0,1,0.00,1125,1,0.0,2019-03-06,Alohana Realty LLC,35,2019-03-06,189,-157.83302,21.28397
4273,Olímpics Rio 2016 - Penthouse,Brazil,Apartment,298.00,Private room,1.0,2.0,2,moderate,0,1,100.00,1125,1,0.0,2019-02-11,Daniela,1,2019-02-11,365,-43.334599802734886,-22.93592510827873
4274,Private Room (Bunk-bed) near UNSW Kensington,Australia,Apartment,50.00,Private room,1.0,2.0,2,strict_14_with_grace_period,0,2,15.00,1125,1,0.0,2019-03-07,Sikay,3,2019-03-07,65,151.22922,-33.9186
